Código	Descripción del producto	Valor exportado en 2001	Valor exportado en 2002	Valor exportado en 2003	Valor exportado en 2004	Valor exportado en 2005	Valor exportado en 2006	Valor exportado en 2007	Valor exportado en 2008	Valor exportado en 2009	Valor exportado en 2010	Valor exportado en 2011	Valor exportado en 2012	Valor exportado en 2013	Valor exportado en 2014	Valor exportado en 2015	Valor exportado en 2016	Valor exportado en 2017	Valor exportado en 2018	Valor exportado en 2019	Valor exportado en 2020	
TOTAL	"Todos los productos"	12301486	11897488	13092218	16729678	21190439	24390975	29991332	37625882	32852986	39819529	56953516	60273618	58821870	54794812	35690767	31095444	37770123	41769699	39496225	31045676	
27	"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ..."	4465293	4273430	4869051	6174539	8316330	9373868	10872155	17295012	15780900	22564446	36489143	39617936	39278441	35938304	18860908	14770996	20411532	24163057	21638662	12924762	
71	"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, ..."	130953	238687	712846	693616	749803	977851	998011	1267793	1702169	2315071	3033537	3652433	2507322	1839066	1313083	1768345	2006088	1632636	1961841	2994964	
09	"Café, té, yerba mate y especias"	773930	786214	817596	968855	1497878	1491981	1740212	1923022	1581061	1921672	2665457	1964992	1933994	2526471	2585926	2473435	2595072	2348746	2376441	2537462	
06	"Plantas vivas y productos de la floricultura"	613731	674371	684465	706131	909693	972336	1120424	1101035	1055752	1248464	1260038	1278532	1344652	1386108	1308583	1328138	1417127	1477877	1495636	1431333	
39	"Plástico y sus manufacturas"	395148	441140	540590	774358	904122	1048190	1233735	1376644	1099407	1256802	1510205	1541056	1601221	1616938	1423850	1278503	1361423	1532967	1471826	1322811	
08	"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías"	424966	454948	441839	456484	545021	565097	618692	708313	885726	798947	873745	880443	827376	918766	889770	1036042	1079104	1057841	1158487	1284273	
15	"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias ..."	69847	51357	77587	144545	133113	137267	271454	399599	188053	157075	309313	292519	270532	347923	383490	368679	542571	623021	524791	598833	
85	"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción ..."	190984	185661	155803	207124	276670	365362	499881	561125	516524	341830	395967	469048	482844	459273	469103	420453	439352	450347	475268	512025	
17	"Azúcares y artículos de confitería"	342972	340585	352671	382171	456005	568786	494133	397879	626031	673754	878090	770747	649962	819552	610150	533835	569072	518266	484635	506154	
72	"Fundición, hierro y acero"	291883	330317	473218	730933	888062	1267818	1858777	1104558	892669	1193150	1034999	1047294	826989	772508	499396	389858	445282	650785	604935	478045	
38	"Productos diversos de las industrias químicas"	214549	207873	201650	235312	221908	212431	250177	257090	304367	295359	318576	372902	535510	485137	550187	511544	465033	389438	476850	443065	
33	"Aceites esenciales y resinoides; preparaciones de perfumería, de tocador o de cosmética"	77554	92348	93951	129746	180414	244896	323641	438419	428790	399173	489615	527237	564876	483486	438295	395277	444943	467488	483056	423309	
21	"Preparaciones alimenticias diversas"	121031	124749	118641	151371	235480	234946	277440	334526	336610	323948	365978	347303	326929	304264	296078	291561	297357	309933	322667	383200	
30	"Productos farmacéuticos"	249457	239083	217489	226463	259823	290251	303893	365251	405145	358566	409144	461448	497261	524217	503966	426944	351731	350629	359714	361506	
84	"Máquinas, aparatos y artefactos mecánicos, reactores nucleares, calderas; partes de estas máquinas ..."	191348	146490	143352	284991	287854	332200	451233	623885	559455	372859	412111	452033	477301	492545	416444	445539	469558	430628	413338	358008	
87	"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres, sus partes y accesorios"	443356	347490	127882	426933	674798	780487	1182467	567202	284119	347335	414045	578768	861683	550140	503678	552924	539270	645700	656726	356092	
76	"Aluminio y sus manufacturas"	89163	91453	97754	128261	147785	216805	261934	209181	131209	157326	155399	176378	209951	201167	220489	244560	234259	286750	352186	320484	
48	"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón"	248917	244424	264611	313108	360504	430588	545924	628781	569584	524482	582299	418478	391826	345919	281414	224491	259848	271207	282720	243825	
62	"Prendas y complementos (accesorios), de vestir, excepto los de punto"	351273	340171	417127	528930	571560	550356	676940	603254	324290	359158	364386	389695	344018	311525	305868	246306	246774	279356	280636	197522	
34	"Jabones, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ..."	50011	49557	50479	57746	65560	73371	106084	139182	120795	126357	144035	157137	187889	205415	180678	147219	179981	175574	165123	171597	
74	"Cobre y sus manufacturas"	21170	20109	29015	54823	102754	309536	358581	295808	176567	329347	356091	350812	338781	269065	230656	181900	247132	244184	184334	155565	
19	"Preparaciones a base de cereales, harina, almidón, fécula o leche; productos de pastelería"	51104	46355	43511	58679	73012	91833	109132	132774	111649	110189	96350	104849	115894	167119	127201	114592	126285	125660	137533	155192	
01	"Animales vivos"	19167	6964	4599	166916	182438	200609	125976	26416	18050	22202	43661	353973	294087	58326	50364	55295	47796	49852	60550	151569	
73	"Manufacturas de fundición, de hierro o acero"	123539	111139	105864	179693	254488	261647	259779	336626	211287	186777	224868	281211	197197	175808	152904	117469	155691	216264	200523	140285	
70	"Vidrio y sus manufacturas"	65076	86325	87107	97929	118942	163108	162231	150137	163081	170989	200228	244457	195765	238390	174782	177402	170112	177306	141951	135515	
61	"Prendas y complementos (accesorios), de vestir, de punto"	214072	177885	213723	328064	324684	397082	650613	588887	255576	280532	271868	296403	254715	208701	173220	157731	162024	167495	164786	128559	
02	"Carne y despojos comestibles"	17552	5723	6024	30443	27244	76502	340974	763741	596413	13190	28348	48366	207224	50023	37094	38787	76049	92759	80573	126378	
03	"Pescados y crustáceos, moluscos y demás invertebrados acuáticos"	150698	135738	125395	133403	152384	142266	154234	202080	181731	154445	160439	156271	149396	175123	148228	139410	104845	126185	132455	126329	
96	"Manufacturas diversas"	33407	28499	29890	39488	44427	50987	75474	82228	67609	64120	67130	249011	237992	217588	184707	137277	137775	136790	133002	121213	
18	"Cacao y sus preparaciones"	28346	31436	34385	44463	51595	56652	62165	76940	66338	72164	77790	73321	91749	145924	128944	136655	112260	108391	105718	109913	
94	"Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; aparatos de alumbrado ..."	72484	59671	87276	85759	117143	143909	218306	220525	133567	129415	169136	151897	141488	118450	108571	103688	105953	117017	123099	104967	
20	"Preparaciones de hortalizas, de frutas u otros frutos o demás partes de plantas"	17742	20400	19417	32513	34754	39642	45110	41410	41542	49767	53765	49663	53129	52320	56516	63499	75615	88013	98242	98138	
29	"Productos químicos orgánicos"	85076	64891	74444	73174	110049	116446	142019	173433	148263	167740	191570	199028	179477	165840	148918	117021	132359	146596	113981	97716	
63	"Los demás artículos textiles confeccionados; juegos; prendería y trapos"	55065	48543	52200	65613	62876	72807	158554	139908	82415	78586	96736	87141	86622	73232	75946	72508	64427	60169	62830	94896	
90	"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; ..."	24003	24654	25128	35399	42825	48989	67167	80028	90488	55132	64519	69067	91689	87287	106029	89473	86029	91003	101289	87140	
40	"Caucho y sus manufacturas"	78154	63142	68433	90381	113379	141878	171621	196105	147470	146659	188691	159886	118065	89841	75590	53154	62063	89311	84304	86154	
28	"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos ..."	39153	34306	36757	48780	63403	69627	79749	128130	112058	107474	125467	135261	143525	136499	86353	91058	96870	116125	98994	85623	
26	"Minerales metalíferos, escorias y cenizas"	2614	4240	6835	33643	35723	52038	61286	112497	76350	39141	35622	33458	12607	20900	27074	38827	59530	61263	51610	85180	
32	"Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; ..."	298774	235526	36078	47147	52240	66126	108107	203754	197702	223986	203975	149776	101430	102723	99875	78699	82410	92707	96630	83619	
