Código	Descripción del servicio	Valor exportado en 2001	Valor exportado en 2002	Valor exportado en 2003	Valor exportado en 2004	Valor exportado en 2005	Valor exportado en 2006	Valor exportado en 2007	Valor exportado en 2008	Valor exportado en 2009	Valor exportado en 2010	Valor exportado en 2011	Valor exportado en 2012	Valor exportado en 2013	Valor exportado en 2014	Valor exportado en 2015	Valor exportado en 2016	Valor exportado en 2017	Valor exportado en 2018	Valor exportado en 2019	Valor exportado en 2020	
S	"Todos los servicios"					2995300	3751200	3975900	4583200	4594800	5121000	5643400	6447900	7022400	7156100	7426300	7770900	8461400	9652500	9977300	5106920	
SOX	"Memo item: Commercial services"					2921700	3675400	3899000	4503600	4507600	5031200	5550900	6353000	6935000	7067800	7334000	7635000	8305700	9479000	9794100	4895615	
4	"Viajes"					1539400	1915300	1992700	2342000	2440000	2796600	3009900	3460300	3610700	3824900	4245300	4522500	4920600	5556500	5651800	1584766	
10	"Otros servicios empresariales"					272300	444700	371600	528200	545800	603200	497900	742500	896100	954400	886300	890200	1057100	1238900	1484200	1566112	
3	"Transportes"					786700	905600	1111000	1183700	1079800	1143600	1476200	1490600	1713600	1766400	1601200	1640400	1707900	1881300	1982900	1121115	
9	"Servicios de telecomunicaciones, informática e información"					231100	280400	283500	296100	310800	270600	298300	352000	322600	275000	345600	324600	344000	456700	350600	351432	
12	"Bienes y servicios del gobierno n.i.o.p."					73600	75800	76900	79600	87200	89800	92500	94900	87400	88300	92300	135900	155700	173500	183200	211305	
7	"Servicios financieros"					40600	71700	83900	78500	60800	55600	74400	74100	77400	70400	56800	48100	79900	70400	90100	93041	
8	"Cargos por el uso de la propiedad intelectual n.i.o.p."					9900	11300	16800	29700	39000	56500	59000	89800	66400	56400	52400	46400	62100	105600	93200	89282	
11	"Servicios personales, culturales y creativos"					41400	45900	38300	44700	30500	84200	86200	84500	181200	82900	103100	129600	116600	100900	104800	63207	
6	"Servicios de seguros y pensiones"										8100	7600	15900	16000	14200	19200	22800	16700	17200	14200	16940	
2	"Servicios de mantenimiento y reparación n.i.o.p."					300	500	1100	700	800	12900	41500	43400	51000	23000	24200	10400	800	51400	22500	9720	
