Código	Descripción del producto	Valor importado en 2001	Valor importado en 2002	Valor importado en 2003	Valor importado en 2004	Valor importado en 2005	Valor importado en 2006	Valor importado en 2007	Valor importado en 2008	Valor importado en 2009	Valor importado en 2010	Valor importado en 2011	Valor importado en 2012	Valor importado en 2013	Valor importado en 2014	Valor importado en 2015	Valor importado en 2016	Valor importado en 2017	Valor importado en 2018	Valor importado en 2019	Valor importado en 2020	
TOTAL	"Todos los productos"	12820352	12689965	13880613	17099537	21204162	26162440	32897045	39668840	32897671	40682508	54674822	58087854	59381197	64027610	54057599	44889367	46075705	51232805	50413025	43488662	
84	"Máquinas, aparatos y artefactos mecánicos, reactores nucleares, calderas; partes de estas máquinas ..."	1872528	1663129	2121071	2743515	2916670	3617741	4973117	5938468	5233390	6030990	7437035	8140770	7918266	8210875	6924618	5262236	5485287	5812878	5733539	5155595	
85	"Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción ..."	1235589	1232939	1372981	1767290	2826610	3160379	3674302	4232916	3023291	4091013	4992954	5454940	5989510	6630996	5588359	4571092	4977975	5783608	5487373	4977719	
87	"Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres, sus partes y accesorios"	736295	969589	1030707	1423735	1971601	2962894	3994909	3648052	2643996	4079580	6527860	6455269	5403287	6192714	4220198	3773420	3632263	4341840	4690236	3471138	
30	"Productos farmacéuticos"	420326	446813	438395	466402	546315	731327	898764	1078129	1280482	1469095	1692512	2083324	2317239	2382079	2332118	2108504	2191162	2394105	2556294	2505361	
27	"Combustibles minerales, aceites minerales y productos de su destilación; materias bituminosas; ..."	196900	195934	244251	268061	551269	687315	913811	1815188	1239237	2081112	3854233	5661810	6388883	7561288	5133498	3834973	3723037	3535361	4328365	2202241	
39	"Plástico y sus manufacturas"	551889	566948	606221	721140	956701	1157870	1403311	1597200	1314595	1679697	2189633	2315088	2425850	2699223	2379918	2112993	2129011	2506143	2304872	2078699	
10	"Cereales"	466149	508297	543406	645978	626273	868534	1192016	1651685	1180135	1279856	1710295	1842482	1852230	1689699	1649779	1555161	1510751	1667482	1791232	1961876	
29	"Productos químicos orgánicos"	869712	878547	1002815	1318906	1521154	1730082	1885767	2132696	1480947	1880165	2184801	2191414	2386947	2380402	2072437	1914130	2037210	2284566	2004954	1865492	
90	"Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; ..."	342339	355953	373876	434917	571993	775539	892371	1082515	986395	1211792	1442750	1578930	1706772	1876061	1652161	1389114	1373150	1520476	1498688	1482696	
72	"Fundición, hierro y acero"	345429	338517	437468	738169	933273	1065629	1453916	1863063	886680	1387071	1736004	1869390	1734983	2012370	1596938	1252059	1348346	1807965	1551866	1172038	
38	"Productos diversos de las industrias químicas"	278560	297246	319937	361681	407477	480221	568295	713433	626470	699927	851338	933098	1033180	1059952	1027663	901602	912413	1001674	959342	1072314	
23	"Residuos y desperdicios de las industrias alimentarias; alimentos preparados para animales"	168860	149821	170718	224079	237015	280267	390773	574737	515697	540048	613228	776403	842070	879543	746617	745140	757187	900812	843107	927128	
40	"Caucho y sus manufacturas"	270931	265053	273364	351584	434303	540675	628167	744228	709217	859248	1150005	1205328	1151860	1131057	969527	846116	929266	977528	891857	714329	
73	"Manufacturas de fundición, de hierro o acero"	171500	158660	167674	215642	354723	445677	674725	1012839	905509	914436	1589824	1381961	1193680	1264631	907112	618614	810119	976798	988075	657902	
88	"Aeronaves, vehículos espaciales, y sus partes"	865599	787569	704773	619080	709112	663875	789079	1476882	2637505	1878588	2993133	1267749	2321344	2372442	2569146	925529	1001605	1221388	1226737	654634	
31	"Abonos"	188580	190372	225576	292726	349985	376382	484395	849179	482188	604467	896138	859075	721885	787436	793721	585445	668976	708734	628144	641037	
15	"Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias ..."	120519	121127	154273	178609	167821	174433	244782	418422	295214	457357	619625	635454	522395	593034	494967	600428	598142	628509	504466	591321	
33	"Aceites esenciales y resinoides; preparaciones de perfumería, de tocador o de cosmética"	167145	160405	154221	172120	210151	266465	310512	369026	371971	418178	538748	576337	604394	625540	613346	564517	571386	569490	584706	547197	
63	"Los demás artículos textiles confeccionados; juegos; prendería y trapos"	25068	26560	26293	33837	49023	48741	68388	87074	71339	98078	139689	147943	119325	122537	106303	79952	99014	111580	95955	509364	
48	"Papel y cartón; manufacturas de pasta de celulosa, de papel o cartón"	309814	314139	325931	375304	442226	515797	627206	684139	534381	640697	719089	701119	684806	693161	605115	553033	589354	700571	616490	508258	
22	"Bebidas, líquidos alcohólicos y vinagre"	64412	53851	57709	66611	82324	111607	131247	120487	123631	157633	182339	239590	290047	285656	350825	461938	510187	596661	451938	418740	
99	"Materias no a otra parte especificadas"	121344	10758	74578	113534	154982	255642	299689	316946	268414	337534	503417	557723	651984	662735	617112	514498	415246	430506	442787	417176	
32	"Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; ..."	144514	146656	148863	173962	197398	226691	265993	280380	248007	311757	379850	386872	376292	426353	389897	366158	378690	429653	400376	359529	
76	"Aluminio y sus manufacturas"	133006	136361	137085	175926	216748	328872	347263	318131	203042	275406	317482	367910	374062	417633	404565	369488	407577	444858	383214	349335	
28	"Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos ..."	154287	143026	150134	179995	221563	246807	275717	388201	304408	336205	416381	439093	395264	379348	367082	337817	350401	395872	360990	342386	
21	"Preparaciones alimenticias diversas"	80174	94007	92224	92365	99887	116768	128951	142019	163826	177856	212146	274590	294222	304998	339708	355865	353009	369846	392373	340892	
16	"Preparaciones de carne, pescado o de crustáceos, moluscos o demás invertebrados acuáticos"	57565	63220	62337	61679	86073	89369	112000	163209	157870	179963	215689	233601	249428	270196	252416	224330	209263	259466	247778	307191	
94	"Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; aparatos de alumbrado ..."	44852	38115	40348	56922	86739	122365	186305	225975	179131	266811	350664	393765	404486	438501	374472	324701	333568	394193	381814	284979	
74	"Cobre y sus manufacturas"	76064	69888	73304	129386	199211	340825	404987	386173	248257	371446	423519	378169	406306	389485	307333	259786	289214	329509	291735	283687	
64	"Calzado, polainas y artículos análogos; partes de estos artículos"	88540	74940	78994	101606	140213	176790	208031	244596	248225	328243	490886	549398	490251	481340	391322	336360	355341	396212	400189	280617	
12	"Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; ..."	110448	152020	137587	161607	133660	137649	167844	173850	190329	209169	220095	244377	271218	308443	296487	287451	294397	330499	298184	278976	
02	"Carne y despojos comestibles"	28827	22065	9458	13405	18250	18992	31257	44041	36480	49643	76558	113469	187358	242128	173960	189138	270178	332255	360372	268278	
52	"Algodón"	230991	232203	260850	290532	276312	371001	392476	373388	331241	464755	566219	499298	458604	510985	419538	420783	373170	485097	391072	250183	
54	"Filamentos sintéticos o artificiales"	168390	139588	140228	165884	176537	179180	216758	206742	167068	217738	298341	296720	311332	323390	291222	264631	235502	303542	270103	235822	
08	"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías"	68461	67483	64637	75153	82462	87938	118988	132527	137044	168726	212655	258888	261846	287158	228541	208630	219693	234861	223018	227999	
55	"Fibras sintéticas o artificiales discontinuas"	85018	79121	83811	115061	121625	153645	184576	193914	158492	210441	327256	284534	267750	286987	249953	258068	238783	292384	258099	222740	
34	"Jabones, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ..."	58706	60011	61684	73271	81352	96667	111191	140506	132143	163448	205986	233873	246510	278204	251714	217483	226926	234995	221116	221146	
04	"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal ..."	63368	32038	6385	6766	11795	11518	17853	25087	12043	11369	47726	118029	57383	121114	91729	145538	112419	112451	155315	208645	
62	"Prendas y complementos (accesorios), de vestir, excepto los de punto"	37106	36212	30506	37361	53216	67808	108016	135982	128336	165075	278557	356929	389112	404032	339826	267649	308990	349472	346570	207756	
95	"Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios"	71956	76374	62349	75722	105610	144241	189071	228864	184311	246056	324657	372728	371217	397385	318376	260454	291315	310357	295852	206845	
44	"Madera, carbón vegetal y manufacturas de madera"	24004	34613	33206	42480	57641	73766	107844	124906	104556	156750	182016	214450	229530	270693	226327	203506	206392	239196	219887	206266	
03	"Pescados y crustáceos, moluscos y demás invertebrados acuáticos"	14320	17913	23491	33174	43115	55873	66401	82547	77675	91510	121422	156758	224910	262563	212415	217365	203438	234937	220098	200753	
61	"Prendas y complementos (accesorios), de vestir, de punto"	25764	26637	29355	31036	38576	57120	102886	137415	129439	165224	282810	338541	351480	383691	302142	235888	276530	322419	305338	200017	
19	"Preparaciones a base de cereales, harina, almidón, fécula o leche; productos de pastelería"	66888	57407	52424	52723	57806	75804	96317	119845	101590	113440	147843	175689	195730	208871	213309	203154	189823	210775	199958	196865	
07	"Hortalizas, plantas, raíces y tubérculos alimenticios"	70964	71547	62669	65175	73791	70001	86079	104851	104506	155303	181832	183599	151209	151146	163766	195777	176388	151633	159060	195669	
83	"Manufacturas diversas de metal común"	42583	44679	43280	50782	59731	78872	94851	113221	99944	131688	156768	193421	179037	209460	192264	184710	212131	218474	205556	178577	
82	"Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común, partes ..."	80572	72076	71054	74281	90365	132122	156428	188484	145477	177723	259305	269370	270272	280340	236483	204813	218835	227918	220438	178061	
17	"Azúcares y artículos de confitería"	35779	38895	45389	26666	41730	86944	100516	108893	91557	144995	175191	251271	209603	116740	86649	193947	167262	108226	167882	175916	
70	"Vidrio y sus manufacturas"	58929	64979	58578	72435	98458	124775	171585	186118	153160	195366	243393	259337	256593	258152	234500	204166	200860	202959	215521	170897	
96	"Manufacturas diversas"	51386	50470	50500	56572	67822	85614	97393	107477	88334	117837	173061	185802	193288	204948	186307	173794	178470	189263	192851	163648	
60	"Tejidos de punto"	19710	17157	21454	35547	29496	43167	53969	48946	43975	62144	117267	124763	120656	161098	132271	125944	131222	176882	151690	143353	
69	"Productos cerámicos"	37219	37455	42914	53380	78073	114432	130222	150388	118867	174997	235156	257903	266262	294370	228219	204344	191641	216306	189304	140016	
25	"Sal; azufre; tierras y piedras; yesos, cales y cementos"	36812	36596	42186	50793	62224	64218	82738	137294	81221	112552	159004	175280	192623	238225	319077	292957	242560	162509	164127	137382	
20	"Preparaciones de hortalizas, de frutas u otros frutos o demás partes de plantas"	25131	24482	21292	28653	31302	38137	49604	64582	50261	66602	82575	103519	126318	142697	143401	136131	133706	152283	148950	137281	
35	"Materias albuminoideas; productos a base de almidón o de fécula modificados; colas; enzimas"	34146	29405	31541	32502	41942	57166	66581	78841	75498	94697	109584	126653	127219	137831	124237	123307	132996	138299	142752	130418	
47	"Pasta de madera o de las demás materias fibrosas celulósicas; papel o cartón para reciclar ..."	75022	73289	78790	82063	89660	109777	130903	161258	100473	175917	170446	151799	155382	167087	155540	133003	148262	176874	162180	130083	
56	"Guata, fieltro y tela sin tejer; hilados especiales; cordeles, cuerdas y cordajes; artículos ..."	50154	47531	49614	52471	69166	88230	89879	111033	90089	91872	151383	132257	137310	145643	146294	110393	105812	111791	94380	125793	
09	"Café, té, yerba mate y especias"	13087	12233	8647	11599	32051	36272	24654	33972	94083	91280	188775	191680	69311	54291	32359	36383	51595	119853	93195	125273	
24	"Tabaco y sucedáneos del tabaco elaborados"	46353	42235	41365	60148	23227	24266	30469	33323	17176	25191	26389	81088	83426	68319	86805	88360	92538	72224	94533	113791	
42	"Manufacturas de cuero; artículos de talabartería o guarnicionería; artículos de viaje, bolsos ..."	24920	22337	19197	24996	38689	52099	68032	83404	75463	94863	132361	165796	183022	193125	160412	138704	149252	167776	170974	97095	
68	"Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas"	23939	26472	26004	33996	43333	52343	62565	71935	72907	89716	117808	136763	148603	165634	149039	131867	120616	113804	100002	94873	
