Código	Descripción del servicio	Valor importado en 2001	Valor importado en 2002	Valor importado en 2003	Valor importado en 2004	Valor importado en 2005	Valor importado en 2006	Valor importado en 2007	Valor importado en 2008	Valor importado en 2009	Valor importado en 2010	Valor importado en 2011	Valor importado en 2012	Valor importado en 2013	Valor importado en 2014	Valor importado en 2015	Valor importado en 2016	Valor importado en 2017	Valor importado en 2018	Valor importado en 2019	Valor importado en 2020	
S	"Todos los servicios"					5318500	6041200	6824700	7910700	7981600	9641000	11144000	12590100	13365800	14378100	12214200	11300700	12438200	13505100	13880000	9199154	
SOX	"Memo item: Commercial services"					5252800	5973300	6751500	7831600	7917400	9553600	11054100	12458300	13246500	14251700	12089700	11158300	12298300	13372700	13766400	9091576	
3	"Transportes"					2125400	2269900	2628900	3014900	2332500	2826800	3110700	3586700	3155400	3338600	2857400	2605300	2830900	3093100	3197700	2301796	
7	"Servicios financieros"					320300	344300	320700	400100	569900	592000	688000	720000	767400	881000	763800	527300	1056400	1136500	1317700	1514484	
4	"Viajes"					1498700	1689800	1904400	2176900	2251700	2641000	3031500	3625900	3940800	4682700	4317700	4253600	4474500	4824200	4976000	1420911	
6	"Servicios de seguros y pensiones"					289900	317500	388400	436400	440400	852400	1007300	1158100	1159300	1178100	882300	949900	998200	1000400	1050700	1071159	
10	"Otros servicios empresariales"					600100	835900	993800	1170900	1595700	1797500	2257800	2244100	2802900	2851300	1942100	1558200	1522800	1622000	1362500	1054842	
9	"Servicios de telecomunicaciones, informática e información"					251900	325100	267800	313800	384100	357300	435400	467700	695000	666400	718900	707300	827800	885700	969700	1009568	
8	"Cargos por el uso de la propiedad intelectual n.i.o.p."					118100	126800	187900	263000	298600	362400	424700	526900	560600	526000	471300	438600	420400	594300	734300	617048	
12	"Bienes y servicios del gobierno n.i.o.p."					65700	67900	73200	79100	64200	87400	89900	131800	119300	126400	124500	142400	139900	132400	113600	107578	
11	"Servicios personales, culturales y creativos"					43800	58100	53600	41300	34800	111300	82400	98900	148600	103700	123000	105600	79500	111500	93500	56619	
2	"Servicios de mantenimiento y reparación n.i.o.p."					3900	4800	4400	5200	4500	6900	14500	21500	14100	18700	11800	12400	85300	102500	64000	44878	
5	"Construcción"								7000	3200	600	500	3800	1900	2200	500	200	800	300	200	272	
1	"Servicios de manufactura sobre insumos físicos pertenecientes a otros"					900	1200	1400	2100	1700	5200	1300	4700	500	2900	900		1600	2300			
